batch,op_id,status,ttc_s,difficulty
0,op-70f8631df39f,CONFIRMED,7.405,00
1,op-b4f40494e7e8,CONFIRMED,7.424,00
2,op-30d520834c46,CONFIRMED,7.419,00
3,op-75ef3b1ac114,CONFIRMED,7.419,00
4,op-4c6219cbbc8e,CONFIRMED,7.4,00
5,op-e5c02e98529a,CONFIRMED,7.382,00
6,op-26022be36ecc,CONFIRMED,7.388,00
7,op-3fa965b993cd,CONFIRMED,7.397,00
8,op-006a5bc4d5c4,CONFIRMED,7.377,00
9,op-6f40d260e4fb,CONFIRMED,7.365,00
10,op-760c12e0938e,CONFIRMED,7.355,00
11,op-f25e4f340715,CONFIRMED,7.356,00
12,op-eb15b48668cd,CONFIRMED,7.365,00
13,op-a297c249f8cd,CONFIRMED,7.373,00
14,op-31067a3ac592,CONFIRMED,7.373,00
15,op-fd3f7f83355c,CONFIRMED,7.393,00
16,op-d966ff2c42d0,CONFIRMED,7.391,00
17,op-e1355a8d8f06,CONFIRMED,7.387,00
18,op-8b452df6e4e9,CONFIRMED,7.395,00
19,op-940084148f75,CONFIRMED,7.398,00
20,op-8f2d65361b1b,CONFIRMED,7.397,00
21,op-795c4f65d7db,CONFIRMED,7.408,00
22,op-df85f4fb54b0,CONFIRMED,7.4,00
23,op-fbbdc3269da6,CONFIRMED,7.395,00
24,op-cc1be66bdf07,CONFIRMED,7.413,00
25,op-7b59f34c4823,CONFIRMED,7.424,00
26,op-aaca4ee0812e,CONFIRMED,7.422,00
27,op-2823246503a2,CONFIRMED,7.397,00
28,op-1daab646413b,CONFIRMED,7.401,00
29,op-da463d176273,CONFIRMED,7.414,00
30,op-ac01b40b4803,CONFIRMED,7.389,00
31,op-950872a25256,CONFIRMED,7.38,00
32,op-74fd986f1552,CONFIRMED,7.369,00
33,op-159b678ad3bd,CONFIRMED,7.358,00
34,op-44d8aa12652b,CONFIRMED,7.371,00
35,op-9ee0d4df5aa5,CONFIRMED,7.36,00
36,op-7ef26b0ddadf,CONFIRMED,7.37,00
37,op-b3b62fd2e1dc,CONFIRMED,7.358,00
38,op-7d07e43fe33d,CONFIRMED,7.355,00
39,op-c4a99e4e6137,CONFIRMED,7.353,00
40,op-31c99b82a8da,CONFIRMED,7.352,00
41,op-abaca6dd7cba,CONFIRMED,7.349,00
42,op-3bedc817da92,CONFIRMED,7.363,00
43,op-5088cc1345ac,CONFIRMED,7.344,00
44,op-6a281be3df3d,CONFIRMED,7.36,00
45,op-2de81b4f7173,CONFIRMED,7.37,00
46,op-917eaf131749,CONFIRMED,7.369,00
47,op-ec755266523b,CONFIRMED,7.368,00
48,op-4320b0b2cafa,CONFIRMED,7.357,00
49,op-d428dad8329c,CONFIRMED,7.379,00
50,op-9f8a6e1b216c,CONFIRMED,7.364,00
51,op-f4d5b648fe19,CONFIRMED,7.361,00
52,op-6564d94d6c07,CONFIRMED,7.361,00
53,op-96d4c55f0776,CONFIRMED,7.356,00
54,op-6cb18dbb03ab,CONFIRMED,7.356,00
55,op-50088ec883b1,CONFIRMED,7.381,00
56,op-b214cf0d2f03,CONFIRMED,7.382,00
57,op-0e699e35dee5,CONFIRMED,7.372,00
58,op-2fed08ff2bc1,CONFIRMED,7.381,00
59,op-daa03b8d5ba6,CONFIRMED,7.381,00
60,op-c5df96db53bf,CONFIRMED,7.366,00
61,op-17e522ef1751,CONFIRMED,7.366,00
62,op-14de817a7461,CONFIRMED,7.354,00
63,op-f489d7ad7a96,CONFIRMED,7.353,00
64,op-deca944bfcd2,CONFIRMED,7.351,00
65,op-8f21a213a165,CONFIRMED,7.357,00
66,op-931893a5eefc,CONFIRMED,7.355,00
67,op-d2fd9d16bd77,CONFIRMED,7.36,00
68,op-5b8df62c1bdd,CONFIRMED,7.358,00
69,op-474a30580b75,CONFIRMED,7.368,00
70,op-23faac6729e8,CONFIRMED,7.34,00
71,op-1cb34213c29a,CONFIRMED,7.355,00
72,op-8fc953184c5f,CONFIRMED,7.352,00
73,op-6fe3ea05be3e,CONFIRMED,7.357,00
74,op-8f86b7a80739,CONFIRMED,7.393,00
75,op-2f753f71bcc8,CONFIRMED,7.387,00
76,op-2498469c30d9,CONFIRMED,7.398,00
77,op-86376ba738bb,CONFIRMED,7.394,00
78,op-31cc320a6dad,CONFIRMED,7.365,00
79,op-95853aad13ac,CONFIRMED,7.36,00
80,op-72220f5337ab,CONFIRMED,7.363,00
81,op-0e372573d5bc,CONFIRMED,7.355,00
82,op-6b3a3bcc9c21,CONFIRMED,7.354,00
83,op-3c1f5ac066fe,CONFIRMED,7.336,00
84,op-08fbf8f8e880,CONFIRMED,7.351,00
85,op-8e43444b2c6d,CONFIRMED,7.348,00
86,op-6b1f66fe4842,CONFIRMED,7.347,00
87,op-091fa8b796bd,CONFIRMED,7.343,00
88,op-a3fc5f0f0fbd,CONFIRMED,7.334,00
89,op-69764135ac2d,CONFIRMED,7.324,00
90,op-0e98d960cc51,CONFIRMED,7.323,00
91,op-53c5d94bc850,CONFIRMED,7.321,00
92,op-b0403f94c68a,CONFIRMED,7.326,00
93,op-2809801bbf55,CONFIRMED,7.303,00
94,op-d1e378b25d8f,CONFIRMED,7.293,00
95,op-cbf0ed7766e9,CONFIRMED,7.293,00
96,op-cbf04c4dca5e,CONFIRMED,7.297,00
97,op-7af7176ec3aa,CONFIRMED,7.297,00
98,op-f57951d64c77,CONFIRMED,7.3,00
99,op-3b9170f89e84,CONFIRMED,7.295,00
100,op-9a2061ac7ed5,CONFIRMED,7.297,00
101,op-e7f98623ba69,CONFIRMED,7.288,00
102,op-ea0a82201ccc,CONFIRMED,7.293,00
103,op-3cd713fd3c48,CONFIRMED,7.313,00
104,op-86d6b461886c,CONFIRMED,7.313,00
105,op-2b82d49890b5,CONFIRMED,7.314,00
106,op-adb921ccb249,CONFIRMED,7.316,00
107,op-6149e0a95205,CONFIRMED,7.318,00
108,op-c9eaed85eb85,CONFIRMED,7.321,00
109,op-6a97eeb322e7,CONFIRMED,7.341,00
110,op-1f01eb6e6562,CONFIRMED,7.332,00
111,op-f18c5b0d855f,CONFIRMED,7.323,00
112,op-3ec9c9c197f4,CONFIRMED,7.32,00
113,op-56e6b4e20174,CONFIRMED,7.309,00
114,op-21eef933f5ce,CONFIRMED,7.309,00
115,op-bef77aae5045,CONFIRMED,7.324,00
116,op-d064b84fea98,CONFIRMED,7.325,00
117,op-2e57656a9974,CONFIRMED,7.312,00
118,op-88abd803ec8c,CONFIRMED,7.309,00
119,op-519e9a96000a,CONFIRMED,7.309,00
120,op-a9ee37665378,CONFIRMED,7.306,00
121,op-de15aab9dd02,CONFIRMED,7.317,00
122,op-dc21877aa4fb,CONFIRMED,7.3,00
123,op-b4f62b6d355d,CONFIRMED,7.293,00
124,op-e82cadd43dc4,CONFIRMED,7.292,00
125,op-6c85d7c8d043,CONFIRMED,7.294,00
126,op-ee6fde3fe001,CONFIRMED,7.31,00
127,op-b87cf4b01067,CONFIRMED,7.308,00
128,op-2d3cd6898c05,CONFIRMED,7.307,00
129,op-692227cfe6cb,CONFIRMED,7.319,00
130,op-0a7e86be258c,CONFIRMED,7.328,00
131,op-dd6ef63bfbb8,CONFIRMED,7.314,00
132,op-ecdef28a00f6,CONFIRMED,7.315,00
133,op-43600d3aa01d,CONFIRMED,7.327,00
134,op-b420a9a3820d,CONFIRMED,7.324,00
135,op-937d44a55034,CONFIRMED,7.314,00
136,op-fdab2653c1a4,CONFIRMED,7.322,00
137,op-286487c3844d,CONFIRMED,7.311,00
138,op-bfd71386c7d4,CONFIRMED,7.321,00
139,op-3f212ac31825,CONFIRMED,7.321,00
140,op-72f826a2672b,CONFIRMED,7.316,00
141,op-2b6f8b79fb4e,CONFIRMED,7.306,00
142,op-b5cd793bd5c2,CONFIRMED,7.295,00
143,op-a0151e0c5e8f,CONFIRMED,7.306,00
144,op-451c845b889f,CONFIRMED,7.295,00
145,op-3612d0a92c6f,CONFIRMED,7.306,00
146,op-7f481e9551c7,CONFIRMED,7.315,00
147,op-697214711172,CONFIRMED,7.305,00
148,op-d412c6d54ba5,CONFIRMED,7.308,00
149,op-ae9e6febd5dd,CONFIRMED,7.316,00
150,op-1fc88dae2980,CONFIRMED,7.312,00
151,op-5c9263943927,CONFIRMED,7.321,00
152,op-542a186066b1,CONFIRMED,7.298,00
153,op-31f635949b02,CONFIRMED,7.297,00
154,op-9ccfaed58e9d,CONFIRMED,7.293,00
155,op-7c50853139e5,CONFIRMED,7.284,00
156,op-1be271fd3376,CONFIRMED,7.303,00
157,op-ffb81af2b55b,CONFIRMED,7.296,00
158,op-bd61e3b6d369,CONFIRMED,7.283,00
159,op-b57fcf4f3af4,CONFIRMED,7.294,00
160,op-43382f53e3c7,CONFIRMED,7.301,00
161,op-044b7b69f7aa,CONFIRMED,7.299,00
162,op-5e6c20dddeff,CONFIRMED,7.318,00
163,op-5858754a59f0,CONFIRMED,7.301,00
164,op-e66a849ec73e,CONFIRMED,7.301,00
165,op-475cab84ab39,CONFIRMED,7.286,00
166,op-0b3cf6a5ec16,CONFIRMED,7.296,00
167,op-81b5baf9ac2c,CONFIRMED,7.311,00
168,op-33a6714b873c,CONFIRMED,7.304,00
169,op-1235eca12244,CONFIRMED,7.296,00
170,op-ef73463f067f,CONFIRMED,7.297,00
171,op-2d2ffa2cc20a,CONFIRMED,7.296,00
172,op-45037263e0ec,CONFIRMED,7.288,00
173,op-ccf626f050b5,CONFIRMED,7.298,00
174,op-cda4db69215e,CONFIRMED,7.299,00
175,op-cdf313eae9e4,CONFIRMED,7.292,00
176,op-d151f76abe4a,CONFIRMED,7.293,00
177,op-0f358401ac18,CONFIRMED,7.294,00
178,op-bed7376f00dc,CONFIRMED,7.286,00
179,op-9b4ef7da0ec6,CONFIRMED,7.278,00
180,op-d9e636581c6b,CONFIRMED,7.271,00
181,op-b83a7a1eadf7,CONFIRMED,7.263,00
182,op-3f52f13839bc,CONFIRMED,7.254,00
183,op-5b5fe7980dd6,CONFIRMED,7.256,00
184,op-c4ce519f5ea6,CONFIRMED,7.247,00
185,op-aba8bacce64a,CONFIRMED,7.239,00
186,op-9a1f04239ac2,CONFIRMED,7.234,00
187,op-adbca5793958,CONFIRMED,7.234,00
188,op-e5eada02a04a,CONFIRMED,7.233,00
189,op-a1247889db3e,CONFIRMED,7.224,00
190,op-753380ab02d4,CONFIRMED,7.216,00
191,op-04cd4c1de41f,CONFIRMED,7.206,00
192,op-f5c09c4a2d2e,CONFIRMED,7.198,00
193,op-ac73a0b78a1b,CONFIRMED,7.191,00
194,op-f25d70da07ff,CONFIRMED,7.193,00
195,op-8936056f28bb,CONFIRMED,7.174,00
196,op-41b945c563c5,CONFIRMED,7.184,00
197,op-179c12bc89cd,CONFIRMED,7.186,00
198,op-c21fdc85df10,CONFIRMED,7.168,00
199,op-0621fc9d44b0,CONFIRMED,7.168,00
200,op-96574d08ecdc,CONFIRMED,7.188,00
201,op-09b7219117e6,CONFIRMED,7.189,00
202,op-a53f2bc3f6d2,CONFIRMED,7.168,00
203,op-b02a3db5bd66,CONFIRMED,7.169,00
204,op-bfce9f2fab4d,CONFIRMED,7.153,00
205,op-25e824e1d342,CONFIRMED,7.158,00
206,op-052a0db43cdc,CONFIRMED,7.154,00
207,op-f3fafa461fee,CONFIRMED,7.153,00
208,op-74399098a824,CONFIRMED,7.145,00
209,op-c59b28a9f3e3,CONFIRMED,7.124,00
210,op-d927703a0c4a,CONFIRMED,7.119,00
211,op-e42060f6c152,CONFIRMED,7.139,00
212,op-f047beb0104f,CONFIRMED,7.142,00
213,op-b62f6b54c434,CONFIRMED,7.142,00
214,op-a40a53df728a,CONFIRMED,7.162,00
215,op-82bd72b82b23,CONFIRMED,7.16,00
216,op-43372b204df8,CONFIRMED,7.15,00
217,op-101d958ff952,CONFIRMED,7.144,00
218,op-5170b26dd728,CONFIRMED,7.165,00
219,op-1f391a266269,CONFIRMED,7.163,00
220,op-477773e78d69,CONFIRMED,7.179,00
221,op-23f87a4aab29,CONFIRMED,7.177,00
222,op-058db654d58d,CONFIRMED,7.177,00
223,op-e71be1a8a9e9,CONFIRMED,7.186,00
224,op-9d77f5abc099,CONFIRMED,7.174,00
225,op-8c4d010b0d4d,CONFIRMED,7.174,00
226,op-0142d9c9d646,CONFIRMED,7.183,00
227,op-6419a37e1df3,CONFIRMED,7.177,00
228,op-647ef9915b2e,CONFIRMED,7.156,00
229,op-1e541267e98c,CONFIRMED,7.146,00
230,op-b48d91210042,CONFIRMED,7.121,00
231,op-7528407410ee,CONFIRMED,7.107,00
232,op-47c3be729cb4,CONFIRMED,7.113,00
233,op-ca3fe0ae036f,CONFIRMED,7.12,00
234,op-84e7a34a9242,CONFIRMED,7.111,00
235,op-bbb93f984a78,CONFIRMED,7.092,00
236,op-6444f55fc922,CONFIRMED,7.102,00
237,op-b70a8355208a,CONFIRMED,7.096,00
238,op-7e95de2bd13c,CONFIRMED,7.095,00
239,op-15531db4b2c9,CONFIRMED,7.092,00
240,op-c34775f0ac57,CONFIRMED,7.11,00
241,op-34fa2a9fc042,CONFIRMED,7.087,00
242,op-1ae00e532b22,CONFIRMED,7.081,00
243,op-a8336e51d245,CONFIRMED,7.095,00
244,op-3d803e59b02c,CONFIRMED,7.102,00
245,op-ec64d6071613,CONFIRMED,7.105,00
246,op-a936ce9d7ec9,CONFIRMED,7.085,00
247,op-1ac90750fb22,CONFIRMED,6.981,00
