batch,op_id,status,ttc_s,difficulty
0,op-e9ce985fa652,CONFIRMED,3.347,0000
1,op-e11823c101a1,CONFIRMED,3.336,0000
2,op-97f99aa16364,CONFIRMED,3.338,0000
3,op-13315e46da0c,CONFIRMED,3.316,0000
4,op-dff58a46af52,CONFIRMED,3.313,0000
5,op-0abf1a26a266,CONFIRMED,3.326,0000
6,op-7278c6009f5a,CONFIRMED,3.348,0000
7,op-5d47789cd68c,CONFIRMED,3.362,0000
8,op-d6ecfe918540,CONFIRMED,3.361,0000
9,op-0b549293d55f,CONFIRMED,3.349,0000
10,op-35b10a8fb6ad,CONFIRMED,3.354,0000
11,op-65e1dae6b3d2,CONFIRMED,3.359,0000
12,op-25a018ab2d19,CONFIRMED,3.353,0000
13,op-0282ae1c6eb4,CONFIRMED,3.366,0000
14,op-3920b6623f3c,CONFIRMED,3.351,0000
15,op-532bbab256f8,CONFIRMED,3.398,0000
16,op-2a6f65750b45,CONFIRMED,3.404,0000
17,op-01f69df457ad,CONFIRMED,3.399,0000
18,op-788091600efa,CONFIRMED,3.678,0000
19,op-dab542d1104c,CONFIRMED,3.706,0000
20,op-9a6c47d949aa,CONFIRMED,3.725,0000
21,op-406d0a293e19,CONFIRMED,3.742,0000
22,op-fae1d2d498b0,CONFIRMED,3.744,0000
23,op-56e1c7061dda,CONFIRMED,3.747,0000
24,op-281a29057620,CONFIRMED,3.758,0000
25,op-8991a7b85eb8,CONFIRMED,3.767,0000
26,op-80b977e45e3d,CONFIRMED,3.77,0000
27,op-76e03cc68cb0,CONFIRMED,3.776,0000
28,op-1dd51fc187c5,CONFIRMED,3.774,0000
29,op-9d8b79e217c6,CONFIRMED,3.778,0000
