batch,op_id,status,ttc_s,difficulty
0,op-b06d6854c63f,CONFIRMED,42.079,00000
1,op-2aefa7652cf0,CONFIRMED,42.076,00000
2,op-ecda5fa26fff,CONFIRMED,42.104,00000
3,op-ced4a065d481,CONFIRMED,42.101,00000
4,op-1a34338b293b,CONFIRMED,42.106,00000
5,op-215489dc75e8,CONFIRMED,42.097,00000
6,op-a1444938be5d,CONFIRMED,42.102,00000
7,op-af7aa14d0b50,CONFIRMED,42.107,00000
8,op-f4ddf4c4696f,CONFIRMED,42.101,00000
9,op-9cfc8b971639,CONFIRMED,42.108,00000
10,op-9c75ce622567,CONFIRMED,42.094,00000
11,op-436c55919fe4,CONFIRMED,42.106,00000
12,op-5b97b95bc757,CONFIRMED,42.099,00000
13,op-2d3005cd2947,CONFIRMED,42.106,00000
14,op-04829e61a999,CONFIRMED,42.1,00000
15,op-cf06ba083c3a,CONFIRMED,42.102,00000
16,op-59bfb91c7bbe,CONFIRMED,42.361,00000
17,op-a9a2bff3fd35,CONFIRMED,42.35,00000
18,op-a0bf73e5a56b,CONFIRMED,42.371,00000
19,op-c96c18426e4d,CONFIRMED,42.354,00000
20,op-53e339f4def7,CONFIRMED,29.106,00000
21,op-0eb485f9dc94,CONFIRMED,29.106,00000
22,op-1c6aaee3adc5,CONFIRMED,29.101,00000
23,op-0e96dd1a1693,CONFIRMED,29.159,00000
24,op-993f3fbb8a94,CONFIRMED,29.164,00000
25,op-2e185d0a16b9,CONFIRMED,29.163,00000
26,op-275c92e9eeea,CONFIRMED,29.16,00000
27,op-212399d4eb3a,CONFIRMED,29.164,00000
28,op-8ef706880a23,CONFIRMED,29.142,00000
29,op-9f3df41a9865,CONFIRMED,29.152,00000
30,op-64c512eed05f,CONFIRMED,29.148,00000
31,op-13b9777d4927,CONFIRMED,29.136,00000
32,op-06ad65b0db4d,CONFIRMED,29.163,00000
33,op-5ca008a3191a,CONFIRMED,29.158,00000
34,op-43ea3329bcd4,CONFIRMED,29.143,00000
35,op-5d4e586a7bb8,CONFIRMED,29.16,00000
36,op-8a204ac15780,CONFIRMED,29.155,00000
37,op-33b9558ac217,CONFIRMED,29.153,00000
38,op-c250543517db,CONFIRMED,29.147,00000
39,op-692be1f758e5,CONFIRMED,29.14,00000
