batch,op_id,status,ttc_s,difficulty
0,op-20f229d78c73,CONFIRMED,3.706,00
1,op-e26325b672be,CONFIRMED,3.581,00
2,op-58b9bc9a70ed,CONFIRMED,3.571,00
3,op-38fd4aa2a3a1,CONFIRMED,3.563,00
4,op-cb4698a2930e,CONFIRMED,3.553,00
5,op-eb3c8d8f9cb5,CONFIRMED,3.555,00
6,op-644dd05cadf3,CONFIRMED,3.556,00
7,op-aab2cb2958a3,CONFIRMED,3.556,00
8,op-24a985c114f2,CONFIRMED,3.559,00
9,op-4d45d7b0e24a,CONFIRMED,3.558,00
10,op-1551c489f8f4,CONFIRMED,3.567,00
11,op-fe3cdb1fa586,CONFIRMED,3.559,00
12,op-9420c0f4d58a,CONFIRMED,3.565,00
13,op-77fe945747e4,CONFIRMED,3.556,00
14,op-0e86e0436d05,CONFIRMED,3.522,00
15,op-c625816fbac0,CONFIRMED,3.459,00
16,op-bad3d1e63e16,CONFIRMED,3.465,00
17,op-dabc2810b770,CONFIRMED,3.461,00
18,op-ea108e1e4327,CONFIRMED,3.477,00
19,op-6c8370649665,CONFIRMED,3.49,00
20,op-ec0ff7a9b842,CONFIRMED,3.488,00
21,op-663c638692c2,CONFIRMED,3.493,00
22,op-b93d148681d0,CONFIRMED,3.483,00
23,op-bcfa97ae2e7f,CONFIRMED,3.465,00
24,op-6f6bc7b4f9bc,CONFIRMED,3.481,00
25,op-0d8855f988de,CONFIRMED,3.464,00
26,op-9318966a0e94,CONFIRMED,3.46,00
27,op-bd3e82a9caf9,CONFIRMED,3.455,00
28,op-b6022f97122f,CONFIRMED,3.459,00
29,op-c5944839a387,CONFIRMED,3.45,00
